Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
1,Robert Lewandowski (http://www.capology.com/soccer/player/robert-lewandowski/salary-profile/),"€346,807",CF,30,Starter,3,"€18,033,969","€18,033,969","€18,033,969",€0,€0,€0,€0,Bayern Munich
2,Manuel Neuer (http://www.capology.com/soccer/player/manuel-neuer/salary-profile/),"€326,233",GK,33,Starter,3,"€16,964,100","€16,964,100","€16,964,100",€0,€0,€0,€0,Bayern Munich
3,Thomas Müller (http://www.capology.com/soccer/player/thomas-muller/salary-profile/),"€325,124",SS,29,Reserve,3,"€16,906,422","€16,906,422","€16,906,422",€0,€0,€0,€0,Bayern Munich
4,James Rodríguez (http://www.capology.com/soccer/player/james-rodriguez/salary-profile/),"€281,778",AM,27,Starter,1,"€14,652,459",€0,€0,€0,€0,€0,€0,Bayern Munich
5,Franck Ribéry (http://www.capology.com/soccer/player/franck-ribery/salary-profile/),"€260,094",LW,36,Starter,1,"€13,524,911",€0,€0,€0,€0,€0,€0,Bayern Munich
6,Jérôme Boateng (http://www.capology.com/soccer/player/jerome-boateng/salary-profile/),"€260,094",CB,30,Reserve,3,"€13,524,911","€13,524,911","€13,524,911",€0,€0,€0,€0,Bayern Munich
7,Thiago (http://www.capology.com/soccer/player/thiago/salary-profile/),"€260,094",CM,28,Starter,3,"€13,524,911","€13,524,911","€13,524,911",€0,€0,€0,€0,Bayern Munich
8,Marco Reus (http://www.capology.com/soccer/player/marco-reus/salary-profile/),"€238,433",AM,29,Starter,5,"€12,398,495","€12,398,495","€12,398,495","€12,398,495","€12,398,495",€0,€0,Borussia Dortmund
9,David Alaba (http://www.capology.com/soccer/player/david-alaba/salary-profile/),"€216,749",LB,26,Starter,3,"€11,270,948","€11,270,948","€11,270,948",€0,€0,€0,€0,Bayern Munich
10,Mario Götze (http://www.capology.com/soccer/player/mario-gotze/salary-profile/),"€216,749",AM,26,Reserve,2,"€11,270,948","€11,270,948",€0,€0,€0,€0,€0,Borussia Dortmund
11,Mats Hummels (http://www.capology.com/soccer/player/mats-hummels/salary-profile/),"€216,749",CB,30,Starter,3,"€11,270,948","€11,270,948","€11,270,948",€0,€0,€0,€0,Bayern Munich
12,Kingsley Coman (http://www.capology.com/soccer/player/kingsley-coman/salary-profile/),"€173,991",LW,22,Starter,5,"€9,047,520","€9,047,520","€9,047,520","€9,047,520","€9,047,520",€0,€0,Bayern Munich
13,Leon Goretzka (http://www.capology.com/soccer/player/leon-goretzka/salary-profile/),"€173,991",CM,24,Reserve,4,"€9,047,520","€9,047,520","€9,047,520","€9,047,520",€0,€0,€0,Bayern Munich
14,Axel Witsel (http://www.capology.com/soccer/player/axel-witsel/salary-profile/),"€173,404",DM,30,Starter,4,"€9,016,985","€9,016,985","€9,016,985","€9,016,985",€0,€0,€0,Borussia Dortmund
15,Joshua Kimmich (http://www.capology.com/soccer/player/joshua-kimmich/salary-profile/),"€173,404",RB,24,Starter,5,"€9,016,985","€9,016,985","€9,016,985","€9,016,985","€9,016,985",€0,€0,Bayern Munich
16,Corentin Tolisso (http://www.capology.com/soccer/player/corentin-tolisso/salary-profile/),"€152,242",CM,24,Reserve,4,"€7,916,580","€7,916,580","€7,916,580","€7,916,580",€0,€0,€0,Bayern Munich
17,Arjen Robben (http://www.capology.com/soccer/player/arjen-robben/salary-profile/),"€151,720",RW,35,Reserve,1,"€7,889,437",€0,€0,€0,€0,€0,€0,Bayern Munich
18,Thomas Delaney (http://www.capology.com/soccer/player/thomas-delaney/salary-profile/),"€130,493",CM,27,Starter,4,"€6,785,640","€6,785,640","€6,785,640","€6,785,640",€0,€0,€0,Borussia Dortmund
19,Javi Martínez (http://www.capology.com/soccer/player/javi-martinez/salary-profile/),"€130,058",DM,30,Starter,3,"€6,763,021","€6,763,021","€6,763,021",€0,€0,€0,€0,Bayern Munich
20,Ignacio Camacho (http://www.capology.com/soccer/player/ignacio-camacho/salary-profile/),"€108,744",DM,28,Reserve,3,"€5,654,700","€5,654,700","€5,654,700",€0,€0,€0,€0,Wolfsburg
21,Marius Wolf (http://www.capology.com/soccer/player/marius-wolf/salary-profile/),"€108,744",RW,23,Starter,5,"€5,654,700","€5,654,700","€5,654,700","€5,654,700","€5,654,700",€0,€0,Borussia Dortmund
22,Sebastian Rudy (http://www.capology.com/soccer/player/sebastian-rudy/salary-profile/),"€108,744",DM,29,Reserve,4,"€5,654,700","€5,654,700","€5,654,700","€5,654,700",€0,€0,€0,Schalke 04
23,Karim Bellarabi (http://www.capology.com/soccer/player/karim-bellarabi/salary-profile/),"€108,375",RW,29,Reserve,3,"€5,635,474","€5,635,474","€5,635,474",€0,€0,€0,€0,Bayer Leverkusen
24,Kevin Volland (http://www.capology.com/soccer/player/kevin-volland/salary-profile/),"€108,375",CF,26,Starter,3,"€5,635,474","€5,635,474","€5,635,474",€0,€0,€0,€0,Bayer Leverkusen
25,Mahmoud Dahoud (http://www.capology.com/soccer/player/mahmoud-dahoud/salary-profile/),"€108,375",CM,23,Reserve,4,"€5,635,474","€5,635,474","€5,635,474","€5,635,474",€0,€0,€0,Borussia Dortmund
26,Nabil Bentaleb (http://www.capology.com/soccer/player/nabil-bentaleb/salary-profile/),"€108,375",DM,24,Starter,3,"€5,635,474","€5,635,474","€5,635,474",€0,€0,€0,€0,Schalke 04
27,Rafinha (http://www.capology.com/soccer/player/rafinha/salary-profile/),"€108,375",RB,33,Reserve,1,"€5,635,474",€0,€0,€0,€0,€0,€0,Bayern Munich
28,Sven Bender (http://www.capology.com/soccer/player/sven-bender/salary-profile/),"€108,375",CB,29,Reserve,3,"€5,635,474","€5,635,474","€5,635,474",€0,€0,€0,€0,Bayer Leverkusen
29,Yevhen Konoplyanka (http://www.capology.com/soccer/player/yevhen-konoplyanka/salary-profile/),"€108,375",LW,29,Reserve,2,"€5,635,474","€5,635,474",€0,€0,€0,€0,€0,Schalke 04
30,Lukas Hradecky (http://www.capology.com/soccer/player/lukas-hradecky/salary-profile/),"€97,870",GK,29,Starter,5,"€5,089,230","€5,089,230","€5,089,230","€5,089,230","€5,089,230",€0,€0,Bayer Leverkusen
31,Mario Gómez (http://www.capology.com/soccer/player/mario-gomez/salary-profile/),"€97,870",CF,33,Starter,2,"€5,089,230","€5,089,230",€0,€0,€0,€0,€0,Stuttgart
32,Marcel Sabitzer (http://www.capology.com/soccer/player/marcel-sabitzer/salary-profile/),"€97,544",RW,25,Starter,4,"€5,072,266","€5,072,266","€5,072,266","€5,072,266",€0,€0,€0,Leipzig
33,Omar Mascarell (http://www.capology.com/soccer/player/omar-mascarell/salary-profile/),"€97,544",DM,26,Reserve,4,"€5,072,266","€5,072,266","€5,072,266","€5,072,266",€0,€0,€0,Schalke 04
