Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
1,Alexis Sánchez (http://www.capology.com/soccer/player/alexis-sanchez/salary-profile/),"$461,765",LW,30,Reserve,4,"$24,011,806","$24,011,806","$24,011,806","$24,011,806",$0,$0,$0,Manchester United
2,Mesut Özil (http://www.capology.com/soccer/player/mesut-ozil/salary-profile/),"$461,765",AM,30,Starter,3,"$24,011,806","$24,011,806","$24,011,806",$0,$0,$0,$0,Arsenal
3,Gonzalo Higuaín (http://www.capology.com/soccer/player/gonzalo-higuain/salary-profile/),"$400,290",CF,31,Reserve,1,"$20,815,069",$0,$0,$0,$0,$0,$0,Chelsea
4,Paul Pogba (http://www.capology.com/soccer/player/paul-pogba/salary-profile/),"$382,606",CM,26,Starter,3,"$19,895,496","$19,895,496","$19,895,496",$0,$0,$0,$0,Manchester United
5,Kevin De Bruyne (http://www.capology.com/soccer/player/kevin-de-bruyne/salary-profile/),"$303,624",AM,27,Starter,5,"$15,788,422","$15,788,422","$15,788,422","$15,788,422","$15,788,422",$0,$0,Manchester City
6,Sergio Agüero (http://www.capology.com/soccer/player/sergio-aguero/salary-profile/),"$303,624",CF,30,Starter,3,"$15,788,422","$15,788,422","$15,788,422",$0,$0,$0,$0,Manchester City
7,Eden Hazard (http://www.capology.com/soccer/player/eden-hazard/salary-profile/),"$296,088",LW,28,Starter,2,"$15,396,581","$15,396,581",$0,$0,$0,$0,$0,Chelsea
8,David de Gea (http://www.capology.com/soccer/player/david-de-gea/salary-profile/),"$263,866",GK,28,Starter,1,"$13,721,032",$0,$0,$0,$0,$0,$0,Manchester United
9,Harry Kane (http://www.capology.com/soccer/player/harry-kane/salary-profile/),"$263,866",CF,25,Starter,6,"$13,721,032","$13,721,032","$13,721,032","$13,721,032","$13,721,032","$13,721,032",$0,Tottenham
10,Henrikh Mkhitaryan (http://www.capology.com/soccer/player/henrikh-mkhitaryan/salary-profile/),"$263,866",AM,30,Reserve,3,"$13,721,032","$13,721,032","$13,721,032",$0,$0,$0,$0,Arsenal
11,Mohamed Salah (http://www.capology.com/soccer/player/mohamed-salah/salary-profile/),"$263,866",RW,26,Starter,5,"$13,721,032","$13,721,032","$13,721,032","$13,721,032","$13,721,032",$0,$0,Liverpool
12,Riyad Mahrez (http://www.capology.com/soccer/player/riyad-mahrez/salary-profile/),"$263,866",RW,28,Reserve,5,"$13,721,032","$13,721,032","$13,721,032","$13,721,032","$13,721,032",$0,$0,Manchester City
