Rank,Player,Pos.,Weekly Salary,2018 Salary,Club
1,Sebastian Giovinco (http://www.capology.com/soccer/player/sebastian-giovinco/salary-profile/),F,"$136,838","$7,115,556",Toronto FC
2,Michael Bradley (http://www.capology.com/soccer/player/michael-bradley/salary-profile/),M,"$125,000","$6,500,000",Toronto FC
3,Carlos Vela (http://www.capology.com/soccer/player/carlos-vela/salary-profile/),F,"$121,010","$6,292,500",LAFC
4,Bastian Schweinsteiger (http://www.capology.com/soccer/player/bastian-schweinsteiger/salary-profile/),M,"$117,308","$6,100,000",Chicago Fire
5,Giovani dos Santos (http://www.capology.com/soccer/player/giovani-dos-santos/salary-profile/),F,"$115,385","$6,000,000",LA Galaxy
6,David Villa (http://www.capology.com/soccer/player/david-villa/salary-profile/),F,"$107,885","$5,610,000",NYC FC
7,Jozy Altidore (http://www.capology.com/soccer/player/jozy-altidore/salary-profile/),F,"$96,154","$5,000,000",Toronto FC
8,Ignacio Piatti (http://www.capology.com/soccer/player/ignacio-piatti/salary-profile/),M,"$90,641","$4,713,333",Montreal Impact
9,Tim Howard (http://www.capology.com/soccer/player/tim-howard/salary-profile/),GK,"$47,596","$2,475,000",Colorado Rapids
10,Diego Valeri (http://www.capology.com/soccer/player/diego-valeri/salary-profile/),M,"$45,769","$2,380,000",Portland Timbers
11,Nicolas Lodeiro (http://www.capology.com/soccer/player/nicolas-lodeiro/salary-profile/),M,"$44,279","$2,302,500",Seattle Sounders
12,Miguel Almiron (http://www.capology.com/soccer/player/miguel-almiron/salary-profile/),M,"$44,173","$2,297,000",Atlanta United
13,Yura Movsisyan (http://www.capology.com/soccer/player/yura-movsisyan/salary-profile/),F,"$39,880","$2,073,750",Major League Soccer L.L.C
14,Jonathan dos Santos (http://www.capology.com/soccer/player/jonathan-dos-santos/salary-profile/),M,"$38,462","$2,000,000",LA Galaxy
15,Maxi Moralez (http://www.capology.com/soccer/player/maxi-moralez/salary-profile/),M,"$38,462","$2,000,000",NYC FC
16,Fanendo Adi (http://www.capology.com/soccer/player/fanendo-adi/salary-profile/),F,"$37,179","$1,933,333",Portland Timbers
17,Nemanja Nikolic (http://www.capology.com/soccer/player/nemanja-nikolic/salary-profile/),F,"$36,660","$1,906,333",Chicago Fire
18,Romain Alessandrini (http://www.capology.com/soccer/player/romain-alessandrini/salary-profile/),M,"$35,961","$1,869,996",LA Galaxy
19,Borek Dockal (http://www.capology.com/soccer/player/borek-dockal/salary-profile/),M,"$32,967","$1,714,286",Philadelphia Union
20,Shkelzen Gashi (http://www.capology.com/soccer/player/shkelzen-gashi/salary-profile/),F,"$32,091","$1,668,750",Colorado Rapids
21,Clint Dempsey (http://www.capology.com/soccer/player/clint-dempsey/salary-profile/),F,"$31,731","$1,650,000",Seattle Sounders
22,Darwin Quintero (http://www.capology.com/soccer/player/darwin-quintero/salary-profile/),F,"$31,731","$1,650,000",Minnesota United
23,Felipe Gutierrez (http://www.capology.com/soccer/player/felipe-gutierrez/salary-profile/),M,"$31,731","$1,650,000",Sporting KC
24,Bradley Wright-Phillips (http://www.capology.com/soccer/player/bradley-wright-phillips/salary-profile/),F,"$31,442","$1,635,000",NY Red Bulls
25,Victor Vazquez (http://www.capology.com/soccer/player/victor-vazquez/salary-profile/),M,"$28,846","$1,500,000",Toronto FC
26,Zlatan Ibrahimovic (http://www.capology.com/soccer/player/zlatan-ibrahimovic/salary-profile/),F,"$28,846","$1,500,000",LA Galaxy
27,Valeri Qazaishvili (http://www.capology.com/soccer/player/valeri-qazaishvili/salary-profile/),M,"$27,962","$1,454,042",San Jose Earthquakes
28,Ezequiel Barco (http://www.capology.com/soccer/player/ezequiel-barco/salary-profile/),M,"$27,404","$1,425,000",Atlanta United
29,Josef Martinez (http://www.capology.com/soccer/player/josef-martinez/salary-profile/),F,"$26,679","$1,387,318",Atlanta United
30,Dom Dwyer (http://www.capology.com/soccer/player/dom-dwyer/salary-profile/),F,"$26,603","$1,383,333",Orlando City
31,Sebastian Blanco (http://www.capology.com/soccer/player/sebastian-blanco/salary-profile/),M,"$26,442","$1,375,008",Portland Timbers
