Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
1,Lionel Messi (http://www.capology.com/soccer/player/lionel-messi/salary-profile/),"$1,538,905",RW,31,Starter,3,"$80,023,053","$80,023,053","$80,023,053",$0,$0,$0,$0,Barcelona
2,Antoine Griezmann (http://www.capology.com/soccer/player/antoine-griezmann/salary-profile/),"$997,032",CF,28,Starter,5,"$51,845,682","$51,845,682","$51,845,682","$51,845,682","$51,845,682",$0,$0,Atlético Madrid
3,Gareth Bale (http://www.capology.com/soccer/player/gareth-bale/salary-profile/),"$607,706",RW,29,Starter,4,"$31,600,725","$31,600,725","$31,600,725","$31,600,725",$0,$0,$0,Real Madrid
4,Luis Suárez (http://www.capology.com/soccer/player/luis-suarez/salary-profile/),"$508,923",CF,32,Starter,3,"$26,463,996","$26,463,996","$26,463,996",$0,$0,$0,$0,Barcelona
5,Philippe Coutinho (http://www.capology.com/soccer/player/philippe-coutinho/salary-profile/),"$508,923",AM,26,Reserve,5,"$26,463,996","$26,463,996","$26,463,996","$26,463,996","$26,463,996",$0,$0,Barcelona
6,Marcelo (http://www.capology.com/soccer/player/marcelo/salary-profile/),"$434,977",LB,30,Starter,4,"$22,618,800","$22,618,800","$22,618,800","$22,618,800",$0,$0,$0,Real Madrid
7,Sergio Ramos (http://www.capology.com/soccer/player/sergio-ramos/salary-profile/),"$434,977",CB,33,Starter,2,"$22,618,800","$22,618,800",$0,$0,$0,$0,$0,Real Madrid
8,Toni Kroos (http://www.capology.com/soccer/player/toni-kroos/salary-profile/),"$434,977",CM,29,Starter,4,"$22,618,800","$22,618,800","$22,618,800","$22,618,800",$0,$0,$0,Real Madrid
9,Luka Modric (http://www.capology.com/soccer/player/luka-modric/salary-profile/),"$405,311",CM,33,Starter,2,"$21,076,198","$21,076,198",$0,$0,$0,$0,$0,Real Madrid
10,Karim Benzema (http://www.capology.com/soccer/player/karim-benzema/salary-profile/),"$359,813",CF,31,Starter,3,"$18,710,271","$18,710,271","$18,710,271",$0,$0,$0,$0,Real Madrid
11,Diego Costa (http://www.capology.com/soccer/player/diego-costa/salary-profile/),"$347,764",CF,30,Starter,3,"$18,083,731","$18,083,731","$18,083,731",$0,$0,$0,$0,Atlético Madrid
12,Koke (http://www.capology.com/soccer/player/koke/salary-profile/),"$346,785",CM,27,Reserve,6,"$18,032,838","$18,032,838","$18,032,838","$18,032,838","$18,032,838","$18,032,838",$0,Atlético Madrid
13,Koke Vegas (http://www.capology.com/soccer/player/koke-vegas/salary-profile/),NA,GK,23,Reserve,2,NA,NA,$0,$0,$0,$0,$0,Levante
14,Sergio Busquets (http://www.capology.com/soccer/player/sergio-busquets/salary-profile/),"$325,124",DM,30,Starter,5,"$16,906,422","$16,906,422","$16,906,422","$16,906,422","$16,906,422",$0,$0,Barcelona
15,Ivan Rakitic (http://www.capology.com/soccer/player/ivan-rakitic/salary-profile/),"$290,434",CM,31,Starter,3,"$15,102,573","$15,102,573","$15,102,573",$0,$0,$0,$0,Barcelona
16,Thibaut Courtois (http://www.capology.com/soccer/player/thibaut-courtois/salary-profile/),"$281,778",GK,26,Starter,6,"$14,652,459","$14,652,459","$14,652,459","$14,652,459","$14,652,459","$14,652,459",$0,Real Madrid
17,Gerard Piqué (http://www.capology.com/soccer/player/gerard-pique/salary-profile/),"$277,080",CB,32,Starter,4,"$14,408,176","$14,408,176","$14,408,176","$14,408,176",$0,$0,$0,Barcelona
18,Isco (http://www.capology.com/soccer/player/isco/salary-profile/),"$276,145",AM,26,Reserve,4,"$14,359,545","$14,359,545","$14,359,545","$14,359,545",$0,$0,$0,Real Madrid
19,Ousmane Dembélé (http://www.capology.com/soccer/player/ousmane-dembele/salary-profile/),"$260,986",LW,21,Starter,4,"$13,571,280","$13,571,280","$13,571,280","$13,571,280",$0,$0,$0,Barcelona
20,Samuel Umtiti (http://www.capology.com/soccer/player/samuel-umtiti/salary-profile/),"$260,986",CB,25,Starter,5,"$13,571,280","$13,571,280","$13,571,280","$13,571,280","$13,571,280",$0,$0,Barcelona
21,Saúl Ñíguez (http://www.capology.com/soccer/player/saul-niguez/salary-profile/),"$260,769",CM,24,Starter,8,"$13,559,971","$13,559,971","$13,559,971","$13,559,971","$13,559,971","$13,559,971","$13,559,971",Atlético Madrid
22,Jan Oblak (http://www.capology.com/soccer/player/jan-oblak/salary-profile/),"$234,083",GK,26,Starter,3,"$12,172,307","$12,172,307","$12,172,307",$0,$0,$0,$0,Atlético Madrid
23,Vitolo (http://www.capology.com/soccer/player/vitolo/salary-profile/),"$234,083",LW,29,Reserve,4,"$12,172,307","$12,172,307","$12,172,307","$12,172,307",$0,$0,$0,Atlético Madrid
24,Raphaël Varane (http://www.capology.com/soccer/player/raphael-varane/salary-profile/),"$225,427",CB,25,Starter,4,"$11,722,193","$11,722,193","$11,722,193","$11,722,193",$0,$0,$0,Real Madrid
25,Sergi Roberto (http://www.capology.com/soccer/player/sergi-roberto/salary-profile/),"$216,749",RB,27,Reserve,4,"$11,270,948","$11,270,948","$11,270,948","$11,270,948",$0,$0,$0,Barcelona
26,Álvaro Morata (http://www.capology.com/soccer/player/alvaro-morata/salary-profile/),"$214,161",CF,26,Reserve,2,"$11,136,366","$11,136,366",$0,$0,$0,$0,$0,Atlético Madrid
