Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
1,Neymar (http://www.capology.com/soccer/player/neymar/salary-profile/),"$797,726",LW,27,Starter,4,"$41,481,748","$41,481,748","$41,481,748","$41,481,748",$0,$0,$0,PSG
2,Kylian Mbappé (http://www.capology.com/soccer/player/kylian-mbappe/salary-profile/),"$405,464",RW,20,Starter,4,"$21,084,114","$21,084,114","$21,084,114","$21,084,114",$0,$0,$0,PSG
3,Edinson Cavani (http://www.capology.com/soccer/player/edinson-cavani/salary-profile/),"$400,548",CF,32,Starter,2,"$20,828,522","$20,828,522",$0,$0,$0,$0,$0,PSG
4,Thiago Silva (http://www.capology.com/soccer/player/thiago-silva/salary-profile/),"$345,937",CB,34,Starter,2,"$17,988,732","$17,988,732",$0,$0,$0,$0,$0,PSG
5,Marquinhos (http://www.capology.com/soccer/player/marquinhos/salary-profile/),"$289,238",CB,24,Reserve,4,"$15,040,371","$15,040,371","$15,040,371","$15,040,371",$0,$0,$0,PSG
6,Ángel Di María (http://www.capology.com/soccer/player/angel-di-maria/salary-profile/),"$289,238",RW,31,Starter,3,"$15,040,371","$15,040,371","$15,040,371",$0,$0,$0,$0,PSG
7,Mario Balotelli (http://www.capology.com/soccer/player/mario-balotelli/salary-profile/),"$282,735",CF,28,Reserve,1,"$14,702,220",$0,$0,$0,$0,$0,$0,Marseille
8,Falcao (http://www.capology.com/soccer/player/falcao/salary-profile/),"$195,065",CF,33,Starter,2,"$10,143,401","$10,143,401",$0,$0,$0,$0,$0,Monaco
9,Dani Alves (http://www.capology.com/soccer/player/dani-alves/salary-profile/),"$182,060",RB,35,Starter,1,"$9,467,099",$0,$0,$0,$0,$0,$0,PSG
10,Gianluigi Buffon (http://www.capology.com/soccer/player/gianluigi-buffon/salary-profile/),"$182,060",GK,41,Reserve,1,"$9,467,099",$0,$0,$0,$0,$0,$0,PSG
11,Presnel Kimpembe (http://www.capology.com/soccer/player/presnel-kimpembe/salary-profile/),"$157,810",CB,23,Starter,5,"$8,206,101","$8,206,101","$8,206,101","$8,206,101","$8,206,101",$0,$0,PSG
12,Dimitri Payet (http://www.capology.com/soccer/player/dimitri-payet/salary-profile/),"$156,048",AM,32,Starter,3,"$8,114,495","$8,114,495","$8,114,495",$0,$0,$0,$0,Marseille
13,Julian Draxler (http://www.capology.com/soccer/player/julian-draxler/salary-profile/),"$156,048",AM,25,Reserve,3,"$8,114,495","$8,114,495","$8,114,495",$0,$0,$0,$0,PSG
14,Marco Verratti (http://www.capology.com/soccer/player/marco-verratti/salary-profile/),"$156,048",CM,26,Starter,3,"$8,114,495","$8,114,495","$8,114,495",$0,$0,$0,$0,PSG
15,Gelson Martins (http://www.capology.com/soccer/player/gelson-martins/salary-profile/),"$140,889",RW,23,Starter,1,"$7,326,229",$0,$0,$0,$0,$0,$0,Monaco
16,Cesc Fàbregas (http://www.capology.com/soccer/player/cesc-fabregas/salary-profile/),"$137,387",CM,31,Starter,4,"$7,144,148","$7,144,148","$7,144,148","$7,144,148",$0,$0,$0,Monaco
17,Layvin Kurzawa (http://www.capology.com/soccer/player/layvin-kurzawa/salary-profile/),"$130,493",LB,26,Reserve,2,"$6,785,640","$6,785,640",$0,$0,$0,$0,$0,PSG
18,Luiz Gustavo (http://www.capology.com/soccer/player/luiz-gustavo/salary-profile/),"$130,058",DM,31,Starter,3,"$6,763,021","$6,763,021","$6,763,021",$0,$0,$0,$0,Marseille
19,Juan Bernat (http://www.capology.com/soccer/player/juan-bernat/salary-profile/),"$108,744",LB,26,Reserve,3,"$5,654,700","$5,654,700","$5,654,700",$0,$0,$0,$0,PSG
20,Thilo Kehrer (http://www.capology.com/soccer/player/thilo-kehrer/salary-profile/),"$108,744",CB,22,Reserve,5,"$5,654,700","$5,654,700","$5,654,700","$5,654,700","$5,654,700",$0,$0,PSG
21,Adrien Silva (http://www.capology.com/soccer/player/adrien-silva/salary-profile/),"$107,091",CM,30,Starter,1,"$5,568,749",$0,$0,$0,$0,$0,$0,Monaco
22,Florian Thauvin (http://www.capology.com/soccer/player/florian-thauvin/salary-profile/),"$106,635",RW,26,Starter,3,"$5,544,999","$5,544,999","$5,544,999",$0,$0,$0,$0,Marseille
23,Kevin Strootman (http://www.capology.com/soccer/player/kevin-strootman/salary-profile/),"$98,631",CM,29,Starter,5,"$5,128,813","$5,128,813","$5,128,813","$5,128,813","$5,128,813",$0,$0,Marseille
24,Memphis Depay (http://www.capology.com/soccer/player/memphis-depay/salary-profile/),"$91,041",CF,25,Starter,3,"$4,734,115","$4,734,115","$4,734,115",$0,$0,$0,$0,Lyon
25,Steve Mandanda (http://www.capology.com/soccer/player/steve-mandanda/salary-profile/),"$91,041",GK,34,Starter,2,"$4,734,115","$4,734,115",$0,$0,$0,$0,$0,Marseille
26,Nacer Chadli (http://www.capology.com/soccer/player/nacer-chadli/salary-profile/),"$88,431",LW,29,Reserve,3,"$4,598,402","$4,598,402","$4,598,402",$0,$0,$0,$0,Monaco
27,Lassana Diarra (http://www.capology.com/soccer/player/lassana-diarra/salary-profile/),"$86,691",DM,34,Reserve,1,"$4,507,927",$0,$0,$0,$0,$0,$0,PSG
28,Hatem Ben Arfa (http://www.capology.com/soccer/player/hatem-ben-arfa/salary-profile/),"$78,905",AM,32,Starter,1,"$4,103,050",$0,$0,$0,$0,$0,$0,Rennes
29,Yann M'Vila (http://www.capology.com/soccer/player/yann-m-vila/salary-profile/),"$78,905",DM,28,Starter,4,"$4,103,050","$4,103,050","$4,103,050","$4,103,050",$0,$0,$0,St-Étienne
30,Adil Rami (http://www.capology.com/soccer/player/adil-rami/salary-profile/),"$78,035",CB,33,Starter,3,"$4,057,813","$4,057,813","$4,057,813",$0,$0,$0,$0,Marseille
31,Bertrand Traoré (http://www.capology.com/soccer/player/bertrand-traore/salary-profile/),"$78,035",RW,23,Starter,4,"$4,057,813","$4,057,813","$4,057,813","$4,057,813",$0,$0,$0,Lyon
32,Mapou Yanga-Mbiwa (http://www.capology.com/soccer/player/mapou-yanga-mbiwa/salary-profile/),"$78,035",CB,29,Reserve,2,"$4,057,813","$4,057,813",$0,$0,$0,$0,$0,Lyon
33,Nabil Fekir (http://www.capology.com/soccer/player/nabil-fekir/salary-profile/),"$78,035",AM,25,Starter,2,"$4,057,813","$4,057,813",$0,$0,$0,$0,$0,Lyon
34,Kamil Glik (http://www.capology.com/soccer/player/kamil-glik/salary-profile/),"$75,425",CB,31,Starter,3,"$3,922,100","$3,922,100","$3,922,100",$0,$0,$0,$0,Monaco
35,Leandro Paredes (http://www.capology.com/soccer/player/leandro-paredes/salary-profile/),"$74,490",DM,24,Starter,5,"$3,873,470","$3,873,470","$3,873,470","$3,873,470","$3,873,470",$0,$0,PSG
36,Stevan Jovetic (http://www.capology.com/soccer/player/stevan-jovetic/salary-profile/),"$72,837",CF,29,Reserve,3,"$3,787,518","$3,787,518","$3,787,518",$0,$0,$0,$0,Monaco
37,Jemerson (http://www.capology.com/soccer/player/jemerson/salary-profile/),"$70,097",CB,26,Reserve,2,"$3,645,020","$3,645,020",$0,$0,$0,$0,$0,Monaco
38,Djibril Sidibé (http://www.capology.com/soccer/player/djibril-sidibe/salary-profile/),"$69,531",RB,26,Starter,4,"$3,615,615","$3,615,615","$3,615,615","$3,615,615",$0,$0,$0,Monaco
39,Thomas Meunier (http://www.capology.com/soccer/player/thomas-meunier/salary-profile/),"$67,617",RB,27,Starter,2,"$3,516,092","$3,516,092",$0,$0,$0,$0,$0,PSG
40,Naldo (http://www.capology.com/soccer/player/naldo/salary-profile/),"$66,769",CB,36,Reserve,2,"$3,471,986","$3,471,986",$0,$0,$0,$0,$0,Monaco
41,Aymen Abdennour (http://www.capology.com/soccer/player/aymen-abdennour/salary-profile/),"$65,247",CB,29,Reserve,1,"$3,392,820",$0,$0,$0,$0,$0,$0,Marseille
42,Adrien Rabiot (http://www.capology.com/soccer/player/adrien-rabiot/salary-profile/),"$65,029",CM,24,Reserve,1,"$3,381,511",$0,$0,$0,$0,$0,$0,PSG
43,Dante (http://www.capology.com/soccer/player/dante/salary-profile/),"$65,029",CB,35,Starter,1,"$3,381,511",$0,$0,$0,$0,$0,$0,Nice
44,José Fonte (http://www.capology.com/soccer/player/jose-fonte/salary-profile/),"$65,029",CB,35,Starter,2,"$3,381,511","$3,381,511",$0,$0,$0,$0,$0,Lille
45,Rafael (http://www.capology.com/soccer/player/rafael/salary-profile/),"$65,029",RB,28,Reserve,1,"$3,381,511",$0,$0,$0,$0,$0,$0,Lyon
46,Thiago Maia (http://www.capology.com/soccer/player/thiago-maia/salary-profile/),"$65,029",DM,22,Reserve,4,"$3,381,511","$3,381,511","$3,381,511","$3,381,511",$0,$0,$0,Lille
47,Aleksandr Golovin (http://www.capology.com/soccer/player/aleksandr-golovin/salary-profile/),"$60,788",AM,22,Starter,5,"$3,160,977","$3,160,977","$3,160,977","$3,160,977","$3,160,977",$0,$0,Monaco
48,M'Baye Niang (http://www.capology.com/soccer/player/m-baye-niang/salary-profile/),"$60,353",CF,24,Reserve,1,"$3,138,359",$0,$0,$0,$0,$0,$0,Rennes
49,Anthony Lopes (http://www.capology.com/soccer/player/anthony-lopes/salary-profile/),"$57,221",GK,28,Starter,2,"$2,975,503","$2,975,503",$0,$0,$0,$0,$0,Lyon
50,Moussa Dembélé (http://www.capology.com/soccer/player/moussa-dembele/salary-profile/),"$54,176",CF,22,Starter,5,"$2,817,172","$2,817,172","$2,817,172","$2,817,172","$2,817,172",$0,$0,Lyon
51,Clément Grenier (http://www.capology.com/soccer/player/clement-grenier/salary-profile/),"$52,610",CM,28,Reserve,3,"$2,735,744","$2,735,744","$2,735,744",$0,$0,$0,$0,Rennes
52,Morgan Sanson (http://www.capology.com/soccer/player/morgan-sanson/salary-profile/),"$52,023",CM,24,Reserve,4,"$2,705,208","$2,705,208","$2,705,208","$2,705,208",$0,$0,$0,Marseille
53,Eric Maxim Choupo-Moting (http://www.capology.com/soccer/player/eric-maxim-choupo-moting/salary-profile/),"$50,892",CF,30,Reserve,2,"$2,646,400","$2,646,400",$0,$0,$0,$0,$0,PSG
54,Clinton N'Jie (http://www.capology.com/soccer/player/clinton-n-jie/salary-profile/),"$49,413",CF,25,Reserve,2,"$2,569,496","$2,569,496",$0,$0,$0,$0,$0,Marseille
55,Duje Caleta-Car (http://www.capology.com/soccer/player/duje-caleta-car/salary-profile/),"$49,413",CB,22,Reserve,5,"$2,569,496","$2,569,496","$2,569,496","$2,569,496","$2,569,496",$0,$0,Marseille
56,Rémy Cabella (http://www.capology.com/soccer/player/remy-cabella/salary-profile/),"$49,413",AM,29,Starter,4,"$2,569,496","$2,569,496","$2,569,496","$2,569,496",$0,$0,$0,St-Étienne
57,Benjamin Henrichs (http://www.capology.com/soccer/player/benjamin-henrichs/salary-profile/),"$49,152",RB,22,Reserve,5,"$2,555,924","$2,555,924","$2,555,924","$2,555,924","$2,555,924",$0,$0,Monaco
58,Marcelo Antônio Guedes Filho (http://www.capology.com/soccer/player/marcelo-antonio-guedes-filho/salary-profile/),"$48,217",CB,31,Starter,3,"$2,507,294","$2,507,294","$2,507,294",$0,$0,$0,$0,Lyon
59,Loïc Rémy (http://www.capology.com/soccer/player/loic-remy/salary-profile/),"$46,825",CF,32,Reserve,2,"$2,434,914","$2,434,914",$0,$0,$0,$0,$0,Lille
60,Maxwel Cornet (http://www.capology.com/soccer/player/maxwel-cornet/salary-profile/),"$46,825",RW,22,Reserve,3,"$2,434,914","$2,434,914","$2,434,914",$0,$0,$0,$0,Lyon
61,Thiago Mendes (http://www.capology.com/soccer/player/thiago-mendes/salary-profile/),"$46,825",DM,27,Starter,4,"$2,434,914","$2,434,914","$2,434,914","$2,434,914",$0,$0,$0,Lille
62,Valère Germain (http://www.capology.com/soccer/player/valere-germain/salary-profile/),"$46,825",CF,28,Starter,3,"$2,434,914","$2,434,914","$2,434,914",$0,$0,$0,$0,Marseille
63,Danijel Subasic (http://www.capology.com/soccer/player/danijel-subasic/salary-profile/),"$44,215",GK,34,Starter,2,"$2,299,201","$2,299,201",$0,$0,$0,$0,$0,Monaco
64,Georges-Kevin N'Koudou (http://www.capology.com/soccer/player/georges-kevin-n-koudou/salary-profile/),"$44,085",LW,24,Reserve,1,"$2,292,415",$0,$0,$0,$0,$0,$0,Monaco
65,Jason Denayer (http://www.capology.com/soccer/player/jason-denayer/salary-profile/),"$43,345",CB,23,Starter,4,"$2,253,963","$2,253,963","$2,253,963","$2,253,963",$0,$0,$0,Lyon
66,Rolando (http://www.capology.com/soccer/player/rolando/salary-profile/),"$42,997",CB,33,Reserve,1,"$2,235,868",$0,$0,$0,$0,$0,$0,Marseille
67,Bouna Sarr (http://www.capology.com/soccer/player/bouna-sarr/salary-profile/),"$41,606",RB,27,Starter,4,"$2,163,488","$2,163,488","$2,163,488","$2,163,488",$0,$0,$0,Marseille
68,Gabriel Boschilia (http://www.capology.com/soccer/player/gabriel-boschilia/salary-profile/),"$40,322",AM,23,Starter,1,"$2,096,763",$0,$0,$0,$0,$0,$0,Nantes
69,Yann Karamoh (http://www.capology.com/soccer/player/yann-karamoh/salary-profile/),"$40,235",RW,20,Reserve,1,"$2,092,239",$0,$0,$0,$0,$0,$0,Bordeaux
70,Alphonse Areola (http://www.capology.com/soccer/player/alphonse-areola/salary-profile/),"$39,452",GK,26,Starter,5,"$2,051,525","$2,051,525","$2,051,525","$2,051,525","$2,051,525",$0,$0,PSG
71,Lucas Tousart (http://www.capology.com/soccer/player/lucas-tousart/salary-profile/),"$39,148",DM,21,Reserve,5,"$2,035,692","$2,035,692","$2,035,692","$2,035,692","$2,035,692",$0,$0,Lyon
72,Adama Soumaoro (http://www.capology.com/soccer/player/adama-soumaoro/salary-profile/),"$39,017",CB,26,Reserve,3,"$2,028,906","$2,028,906","$2,028,906",$0,$0,$0,$0,Lille
73,Jérémy Pied (http://www.capology.com/soccer/player/jeremy-pied/salary-profile/),"$39,017",RB,30,Starter,2,"$2,028,906","$2,028,906",$0,$0,$0,$0,$0,Lille
74,Mike Maignan (http://www.capology.com/soccer/player/mike-maignan/salary-profile/),"$39,017",GK,23,Starter,2,"$2,028,906","$2,028,906",$0,$0,$0,$0,$0,Lille
75,Neven Subotic (http://www.capology.com/soccer/player/neven-subotic/salary-profile/),"$39,017",CB,30,Reserve,2,"$2,028,906","$2,028,906",$0,$0,$0,$0,$0,St-Étienne
76,Tanguy Ndombélé (http://www.capology.com/soccer/player/tanguy-ndombele/salary-profile/),"$39,017",CM,22,Starter,5,"$2,028,906","$2,028,906","$2,028,906","$2,028,906","$2,028,906",$0,$0,Lyon
77,Xeka (http://www.capology.com/soccer/player/xeka/salary-profile/),"$39,017",DM,24,Starter,3,"$2,028,906","$2,028,906","$2,028,906",$0,$0,$0,$0,Lille
78,Nicolas Pépé (http://www.capology.com/soccer/player/nicolas-pepe/salary-profile/),"$38,800",RW,23,Starter,4,"$2,017,597","$2,017,597","$2,017,597","$2,017,597",$0,$0,$0,Lille
79,William Vainqueur (http://www.capology.com/soccer/player/william-vainqueur/salary-profile/),"$38,387",DM,30,Reserve,1,"$1,996,109",$0,$0,$0,$0,$0,$0,Monaco
80,Kenny Tete (http://www.capology.com/soccer/player/kenny-tete/salary-profile/),"$36,408",RB,23,Reserve,3,"$1,893,194","$1,893,194","$1,893,194",$0,$0,$0,$0,Lyon
81,Max Gradel (http://www.capology.com/soccer/player/max-gradel/salary-profile/),"$35,103",LW,31,Starter,3,"$1,825,337","$1,825,337","$1,825,337",$0,$0,$0,$0,Toulouse
