Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
1,Cristiano Ronaldo (http://www.capology.com/soccer/player/cristiano-ronaldo/salary-profile/),"$1,248,536",LW,34,Starter,4,"$64,923,873","$64,923,873","$64,923,873","$64,923,873",$0,$0,$0,Juventus
2,Paulo Dybala (http://www.capology.com/soccer/player/paulo-dybala/salary-profile/),"$281,930",SS,25,Starter,4,"$14,660,375","$14,660,375","$14,660,375","$14,660,375",$0,$0,$0,Juventus
3,Miralem Pjanic (http://www.capology.com/soccer/player/miralem%C2%A0pjanic/salary-profile/),"$261,791",CM,29,Starter,5,"$13,613,125","$13,613,125","$13,613,125","$13,613,125","$13,613,125",$0,$0,Juventus
4,Douglas Costa (http://www.capology.com/soccer/player/douglas-costa/salary-profile/),"$241,651",RW,28,Reserve,4,"$12,565,874","$12,565,874","$12,565,874","$12,565,874",$0,$0,$0,Juventus
5,Gianluigi Donnarumma (http://www.capology.com/soccer/player/gianluigi-donnarumma/salary-profile/),"$241,651",GK,20,Starter,3,"$12,565,874","$12,565,874","$12,565,874",$0,$0,$0,$0,AC Milan
6,Leonardo Bonucci (http://www.capology.com/soccer/player/leonardo-bonucci/salary-profile/),"$221,512",CB,31,Starter,5,"$11,518,624","$11,518,624","$11,518,624","$11,518,624","$11,518,624",$0,$0,Juventus
7,Mario Mandzukic (http://www.capology.com/soccer/player/mario%C2%A0mandzukic/salary-profile/),"$221,512",CF,32,Starter,3,"$11,518,624","$11,518,624","$11,518,624",$0,$0,$0,$0,Juventus
8,Emre Can (http://www.capology.com/soccer/player/emre-can/salary-profile/),"$201,373",DM,25,Reserve,4,"$10,471,373","$10,471,373","$10,471,373","$10,471,373",$0,$0,$0,Juventus
9,Lorenzo Insigne (http://www.capology.com/soccer/player/lorenzo-insigne/salary-profile/),"$185,278",LW,27,Starter,4,"$9,634,478","$9,634,478","$9,634,478","$9,634,478",$0,$0,$0,Napoli
10,Edin Dzeko (http://www.capology.com/soccer/player/edin-dzeko/salary-profile/),"$181,233",CF,33,Starter,2,"$9,424,123","$9,424,123",$0,$0,$0,$0,$0,Roma
11,Mauro Icardi (http://www.capology.com/soccer/player/mauro-icardi/salary-profile/),"$181,233",CF,26,Starter,3,"$9,424,123","$9,424,123","$9,424,123",$0,$0,$0,$0,Inter Milan
12,Radja Nainggolan (http://www.capology.com/soccer/player/radja-nainggolan/salary-profile/),"$181,233",CM,30,Reserve,4,"$9,424,123","$9,424,123","$9,424,123","$9,424,123",$0,$0,$0,Inter Milan
13,Blaise Matuidi (http://www.capology.com/soccer/player/blaise-matuidi/salary-profile/),"$161,094",CM,32,Starter,2,"$8,376,873","$8,376,873",$0,$0,$0,$0,$0,Juventus
14,Dries Mertens (http://www.capology.com/soccer/player/dries-mertens/salary-profile/),"$161,094",CF,31,Reserve,2,"$8,376,873","$8,376,873",$0,$0,$0,$0,$0,Napoli
15,Giorgio Chiellini (http://www.capology.com/soccer/player/giorgio-chiellini/salary-profile/),"$161,094",CB,34,Starter,2,"$8,376,873","$8,376,873",$0,$0,$0,$0,$0,Juventus
16,Ivan Perisic (http://www.capology.com/soccer/player/ivan-perisic/salary-profile/),"$161,094",LW,30,Reserve,4,"$8,376,873","$8,376,873","$8,376,873","$8,376,873",$0,$0,$0,Inter Milan
17,Juan Cuadrado (http://www.capology.com/soccer/player/juan-cuadrado/salary-profile/),"$161,094",RW,30,Reserve,2,"$8,376,873","$8,376,873",$0,$0,$0,$0,$0,Juventus
18,Sami Khedira (http://www.capology.com/soccer/player/sami-khedira/salary-profile/),"$161,094",CM,32,Starter,3,"$8,376,873","$8,376,873","$8,376,873",$0,$0,$0,$0,Juventus
19,Wojciech Szczesny (http://www.capology.com/soccer/player/wojciech-szczesny/salary-profile/),"$161,094",GK,28,Starter,3,"$8,376,873","$8,376,873","$8,376,873",$0,$0,$0,$0,Juventus
20,Stefan De Vrij (http://www.capology.com/soccer/player/stefan-de-vrij/salary-profile/),"$153,047",CB,27,Starter,5,"$7,958,425","$7,958,425","$7,958,425","$7,958,425","$7,958,425",$0,$0,Inter Milan
21,Alessio Romagnoli (http://www.capology.com/soccer/player/alessio-romagnoli/salary-profile/),"$140,954",CB,24,Starter,4,"$7,329,622","$7,329,622","$7,329,622","$7,329,622",$0,$0,$0,AC Milan
22,Javier Pastore (http://www.capology.com/soccer/player/javier-pastore/salary-profile/),"$140,954",AM,29,Reserve,5,"$7,329,622","$7,329,622","$7,329,622","$7,329,622","$7,329,622",$0,$0,Roma
23,João Miranda (http://www.capology.com/soccer/player/joao-miranda/salary-profile/),"$140,954",CB,34,Reserve,2,"$7,329,622","$7,329,622",$0,$0,$0,$0,$0,Inter Milan
24,Kalidou Koulibaly (http://www.capology.com/soccer/player/kalidou-koulibaly/salary-profile/),"$140,954",CB,27,Starter,5,"$7,329,622","$7,329,622","$7,329,622","$7,329,622","$7,329,622",$0,$0,Napoli
25,Lucas Biglia (http://www.capology.com/soccer/player/lucas-biglia/salary-profile/),"$140,954",DM,33,Reserve,2,"$7,329,622","$7,329,622",$0,$0,$0,$0,$0,AC Milan
26,Tiemoué Bakayoko (http://www.capology.com/soccer/player/tiemoue-bakayoko/salary-profile/),"$140,954",DM,24,Starter,1,"$7,329,622",$0,$0,$0,$0,$0,$0,AC Milan
27,Samir Handanovic (http://www.capology.com/soccer/player/samir-handanovic/salary-profile/),"$128,884",GK,34,Starter,3,"$6,701,950","$6,701,950","$6,701,950",$0,$0,$0,$0,Inter Milan
28,Steven Nzonzi (http://www.capology.com/soccer/player/steven-nzonzi/salary-profile/),"$124,860",DM,30,Reserve,4,"$6,492,727","$6,492,727","$6,492,727","$6,492,727",$0,$0,$0,Roma
29,Andrea Barzagli (http://www.capology.com/soccer/player/andrea-barzagli/salary-profile/),"$120,837",CB,37,Reserve,1,"$6,283,503",$0,$0,$0,$0,$0,$0,Juventus
30,Antonio Candreva (http://www.capology.com/soccer/player/antonio-candreva/salary-profile/),"$120,837",RW,32,Reserve,3,"$6,283,503","$6,283,503","$6,283,503",$0,$0,$0,$0,Inter Milan
31,Daniele De Rossi (http://www.capology.com/soccer/player/daniele-de-rossi/salary-profile/),"$120,837",DM,35,Starter,1,"$6,283,503",$0,$0,$0,$0,$0,$0,Roma
32,Daniele Rugani (http://www.capology.com/soccer/player/daniele-rugani/salary-profile/),"$120,837",CB,24,Reserve,5,"$6,283,503","$6,283,503","$6,283,503","$6,283,503","$6,283,503",$0,$0,Juventus
33,Federico Bernardeschi (http://www.capology.com/soccer/player/federico-bernardeschi/salary-profile/),"$120,837",RW,25,Reserve,4,"$6,283,503","$6,283,503","$6,283,503","$6,283,503",$0,$0,$0,Juventus
34,José Callejón (http://www.capology.com/soccer/player/jose-callejon/salary-profile/),"$120,837",RW,32,Starter,2,"$6,283,503","$6,283,503",$0,$0,$0,$0,$0,Napoli
35,João Cancelo (http://www.capology.com/soccer/player/joao-cancelo/salary-profile/),"$120,837",RB,24,Starter,5,"$6,283,503","$6,283,503","$6,283,503","$6,283,503","$6,283,503",$0,$0,Juventus
36,Keita Baldé (http://www.capology.com/soccer/player/keita-balde/salary-profile/),"$120,837",LW,24,Starter,1,"$6,283,503",$0,$0,$0,$0,$0,$0,Inter Milan
37,Kwadwo Asamoah (http://www.capology.com/soccer/player/kwadwo-asamoah/salary-profile/),"$120,837",LB,30,Reserve,3,"$6,283,503","$6,283,503","$6,283,503",$0,$0,$0,$0,Inter Milan
38,Pepe Reina (http://www.capology.com/soccer/player/pepe-reina/salary-profile/),"$120,837",GK,36,Reserve,3,"$6,283,503","$6,283,503","$6,283,503",$0,$0,$0,$0,AC Milan
39,Suso (http://www.capology.com/soccer/player/suso/salary-profile/),"$120,837",RW,25,Starter,4,"$6,283,503","$6,283,503","$6,283,503","$6,283,503",$0,$0,$0,AC Milan
40,Alessandro Florenzi (http://www.capology.com/soccer/player/alessandro-florenzi/salary-profile/),"$112,768",RB,28,Starter,5,"$5,863,924","$5,863,924","$5,863,924","$5,863,924","$5,863,924",$0,$0,Roma
41,Alex Sandro (http://www.capology.com/soccer/player/alex-sandro/salary-profile/),"$112,768",LB,28,Starter,5,"$5,863,924","$5,863,924","$5,863,924","$5,863,924","$5,863,924",$0,$0,Juventus
42,Diego Perotti (http://www.capology.com/soccer/player/diego-perotti/salary-profile/),"$112,768",LW,30,Reserve,3,"$5,863,924","$5,863,924","$5,863,924",$0,$0,$0,$0,Roma
43,Sime Vrsaljko (http://www.capology.com/soccer/player/sime-vrsaljko/salary-profile/),"$112,768",RB,27,Reserve,1,"$5,863,924",$0,$0,$0,$0,$0,$0,Inter Milan
